item_code,item_name,order_frequency,total_qty,avg_qty_per_order,days_ordered,best_fit,poisson_p,normal_p,note
10002025001,黑松沙士1250 ml 黑松沙士,97,301,3.04040404040404,21,poisson,0.4947,0.0,
10002026001,芬達汽水橘子口味600ml,4,60,15.0,2,poisson,,,sparse
10002035001,維大力汽水2L,185,614,3.1487179487179486,21,poisson,0.1625,0.0,
10002037001,七星藍莓汽泡香檳飲料750ml 七星藍莓汽泡香,7,13,1.8571428571428572,4,poisson,0.3445,0.0,
10002038001,七星紅葡萄氣泡香檳飲料750ml 七星紅葡萄氣泡,8,22,2.4444444444444446,6,poisson,0.5494,0.0,
10002039001,七星白葡萄汽泡香檳飲料750 ml,2,24,6.0,1,poisson,,,sparse
10002040001,芬達橘子汽水2L 芬達橘子汽水,84,493,5.6022727272727275,20,poisson,0.1047,0.0,
10002045001,黑松加鹽沙士2L,259,845,3.2375478927203063,21,poisson,0.153,0.0,
10002046001,金車麥根沙士can330ml,144,2610,17.635135135135137,18,poisson,0.0637,0.0,
10002051001,維他露P 2L,10,42,4.2,3,poisson,0.0258,0.0,
10002069001,金車麥根沙士Pet 2000ml 麥根沙士2000ml,62,171,2.7142857142857144,20,poisson,0.6238,0.0,
10002071001,金車奧利多水Pet585ml 奧利多水585ml,147,920,6.216216216216216,21,poisson,0.3669,0.0,
10002072001,金車奧利多水Pet2000ml,66,192,2.8656716417910446,18,poisson,0.3747,0.0,
10002073001,微舒打葡萄can320ml 微舒打葡萄,64,828,12.738461538461538,12,poisson,0.4893,0.0694,
10002074001,蘋果西打1250ml,105,350,3.3333333333333335,21,poisson,0.738,0.0,
10002078001,金車冰淇淋汽水Pet 2000ml,8,48,6.0,5,poisson,0.4384,0.0,
10002102001,維大力零熱量汽水 330ml,401,10410,25.831265508684865,21,poisson,0.4168,0.0,
10002899001,黑松加鹽沙士330 ml CAN330ml黑松加,3,36,12.0,3,poisson,1.0,0.0,
10002906001,美粒果蘋果蘇打Pet 500ml 蘋果蘇打500ml,96,734,7.34,19,poisson,0.8208,0.0,
10002907001,美粒果蘋果蘇打Can 330ml,224,3408,14.947368421052632,21,poisson,0.6637,0.0,
10002911001,樹頂蘋果氣泡飲320ml,1,6,6.0,1,poisson,,,sparse
10002915001,黑松CC氣泡飲王林蘋果風味 500ml,18,176,9.77777777777778,9,poisson,0.173,0.021,
10002916001,美粒果蘋果蘇打1250ml 蘋果蘇打 1.25L,13,146,11.23076923076923,10,poisson,0.8772,0.0703,
10002917001,黑松蘋果蘇打富士蘋果風味2000ml 黑松蘋果蘇打2L,42,208,4.16,19,poisson,0.0817,0.0,
10002918001,維大力蘋果風味氣水2000ml 維大力蘋果 2L,6,26,4.333333333333333,3,poisson,0.2625,0.0,
10002919001,維大力白葡萄風味氣水2000ml,15,130,8.666666666666666,9,poisson,0.4531,0.1065,
10002924001,英國Barr覆盆子風味無糖飲料,3,4,1.3333333333333333,3,poisson,1.0,0.0,
10002942001,黑松CC氣泡飲蘋果口味330ml,42,654,13.914893617021276,19,poisson,0.6085,0.0,
10002943001,維大力白葡萄風味氣水330ml,138,2586,18.73913043478261,19,poisson,0.0343,0.0,
10002944001,維大力蘋果風味氣水330ml,125,2778,20.57777777777778,20,poisson,0.0024,0.0,
10002990001,維他露大蘋果蘇打 330ml,15,356,22.25,7,poisson,0.0663,0.0002,
10002992001,黑松蘋安福氣組 460mlx12,351,446,1.2706552706552707,21,poisson,0.0025,0.0,
10010001001,波蜜一日蔬果100蔬果汁 250ml 波蜜一日蔬果,1,6,6.0,1,poisson,,,sparse
10010002001,波蜜果菜汁TP250ml,693,19488,27.879828326180256,21,poisson,0.0006,0.0,
10010007001,100紫色蔬果汁TP250ml 100紫色蔬果汁,4,36,9.0,2,poisson,,,sparse
10010009001,波蜜BCE果菜汁Pet580ml 波蜜果菜汁BCE,18,184,9.2,9,poisson,0.0093,0.0041,
10010012001,波蜜果菜汁 Pet 580ml 波蜜果菜汁 Pet,23,344,14.956521739130435,12,poisson,0.3324,0.1831,
10010018001,波蜜果菜汁Can240ml,18,528,29.333333333333332,7,poisson,0.0247,0.0001,
10010019001,波蜜低卡果菜汁TP250ml 波蜜低卡果菜汁,35,492,13.666666666666666,12,poisson,0.0177,0.0,
10010023001,波蜜100蔬果汁TP160ml,1,6,6.0,1,poisson,,,sparse
10010026001,一日蔬果100葡萄蔬果汁 160ml,80,1458,17.78048780487805,20,poisson,0.7539,0.0,
10010027001,一日蔬果100蘋果柳橙蔬果 160ml 一日蘋果柳橙蔬,6,912,114.0,1,poisson,,,sparse
10010035001,波蜜BCE果菜汁TP250ml BCE果汁,416,10926,26.138755980861244,21,poisson,0.7989,0.0,
10010042001,義美寶吉蔬果汁葡萄莓果125ml 蔬果汁葡萄莓果,29,372,12.4,15,poisson,0.2187,0.0,
10010043001,義美寶吉蔬果汁蘋果柳橙125ml 蔬果汁蘋果柳橙,34,402,11.485714285714286,16,poisson,0.8594,0.0,
