sku_i,sku_j,cooc,n_i,n_j,jaccard
10034025001,10034036001,74,395,294,0.12032520325203253
14131092001,14131105001,43,224,179,0.11944444444444445
14130015001,14131020001,28,91,173,0.11864406779661017
14361100001,14361101001,23,85,132,0.11855670103092783
14520065001,14520068001,39,241,127,0.11854103343465046
14244016001,14244052001,30,168,116,0.11811023622047244
10030048001,10033050001,77,478,251,0.11809815950920245
10002006001,10002045001,68,393,252,0.11785095320623917
14110015001,14113066001,109,565,469,0.11783783783783784
14131020001,14131040001,25,173,65,0.11737089201877934
14501053001,14502054001,32,192,113,0.11721611721611722
14132015001,14132050001,66,421,209,0.11702127659574468
14504009001,14510033001,20,80,112,0.11627906976744186
14506084001,14510033001,20,80,112,0.11627906976744186
14503003001,14505016001,323,2447,654,0.11627069834413246
14504009001,14504027001,26,80,171,0.11555555555555555
10030007001,10033050001,75,475,251,0.1152073732718894
14120019001,14121014001,65,208,422,0.11504424778761062
10032011001,14506084001,20,115,80,0.11428571428571428
10032011001,14504009001,20,115,80,0.11428571428571428
14501026001,14501053001,44,237,192,0.11428571428571428
10030003001,10033011001,45,259,181,0.11392405063291139
11040005001,11040006001,28,150,124,0.11382113821138211
14616002001,14616006001,34,108,225,0.11371237458193979
14506002001,14506490001,20,105,91,0.11363636363636363
14820012001,14820013001,80,471,316,0.11315417256011315
14502010001,14503005001,45,227,216,0.11306532663316583
10040025001,10040037001,36,274,81,0.11285266457680251
14023056001,14503003001,441,1908,2447,0.11267245784363822
14501010001,14505016001,137,700,654,0.11257189811010682
10030007001,10033018001,113,475,642,0.11254980079681275
14511051001,14511052001,22,130,89,0.1116751269035533
15023012001,15023013001,30,224,75,0.11152416356877323
14833009001,14833010001,45,160,289,0.11138613861386139
14502011001,14505016001,137,715,654,0.1112012987012987
14132003001,14132038001,20,108,92,0.1111111111111111
10040037001,10040049001,22,81,140,0.11055276381909548
14222046001,14223003001,33,90,242,0.11036789297658862
14370020001,14600023001,55,299,256,0.11
14520065001,14521158001,41,241,173,0.10991957104557641
14104067001,14104101001,43,283,152,0.1096938775510204
10032008001,10032010001,79,341,465,0.10866574965612105
14010011001,14010031001,77,511,275,0.10860366713681241
14501045001,14502014001,133,559,799,0.10857142857142857
14501045001,14503003001,294,559,2447,0.1084070796460177
14014011001,14014020001,31,120,197,0.10839160839160839
14504028001,14840018001,21,101,114,0.10824742268041238
14501016001,14501022001,69,209,498,0.10815047021943573
10002019001,10002102001,76,385,395,0.10795454545454546
14501026001,14502026001,57,237,348,0.10795454545454546
14011028001,14011095001,67,462,227,0.10771704180064309
14023102001,14023248001,34,121,229,0.10759493670886076
14130001001,14130015001,27,187,91,0.10756972111553785
14020031001,14023047001,54,249,308,0.1073558648111332
10031005001,10032016001,123,645,627,0.10704960835509138
11103022001,11103050001,26,163,106,0.10699588477366255
14023102001,14023503001,27,121,159,0.1067193675889328
10040040001,10040049001,21,78,140,0.1065989847715736
14131025001,14131041001,70,239,489,0.10638297872340426
